date,westerly,easterly
2012-10-14T00:00:00,1.0,0.0
2012-10-15T00:00:00,1.0,0.0
2012-10-16T00:00:00,1.0,0.0
2012-10-17T00:00:00,0.977,0.024
2012-10-18T00:00:00,1.0,0.0
2012-10-19T00:00:00,0.126,0.874
2012-10-20T00:00:00,0.999,0.001
2012-10-21T00:00:00,0.0,1.0
2012-10-22T00:00:00,0.0,1.0
2012-10-23T00:00:00,0.0,1.0
2012-10-24T00:00:00,0.0,1.0
2012-10-25T00:00:00,0.0,1.0
2012-10-26T00:00:00,0.0,1.0
2012-10-27T00:00:00,0.45,0.549
2012-10-28T00:00:00,1.0,0.0
2012-10-29T00:00:00,1.0,0.0
2012-10-30T00:00:00,1.0,0.0
2012-10-31T00:00:00,1.0,0.0
2012-11-01T00:00:00,1.0,0.0
2012-11-02T00:00:00,1.0,0.0
2012-11-03T00:00:00,1.0,0.0
2012-11-04T00:00:00,0.723,0.277
2012-11-05T00:00:00,0.28,0.72
2012-11-06T00:00:00,1.0,0.0
2012-11-07T00:00:00,1.0,0.0
2012-11-08T00:00:00,1.0,0.0
2012-11-09T00:00:00,1.0,0.0
2012-11-10T00:00:00,0.999,0.001
2012-11-11T00:00:00,1.0,0.0
2012-11-12T00:00:00,0.989,0.011
2012-11-13T00:00:00,1.0,0.0
2012-11-14T00:00:00,0.099,0.901
2012-11-15T00:00:00,0.0,1.0
2012-11-16T00:00:00,0.0,1.0
2012-11-17T00:00:00,0.988,0.012
2012-11-18T00:00:00,1.0,0.0
2012-11-19T00:00:00,1.0,0.0
2012-11-20T00:00:00,1.0,0.0
2012-11-21T00:00:00,0.545,0.455
2012-11-22T00:00:00,1.0,0.0
2012-11-23T00:00:00,1.0,0.0
2012-11-24T00:00:00,0.0,1.0
2012-11-25T00:00:00,1.0,0.0
2012-11-26T00:00:00,0.551,0.449
2012-11-27T00:00:00,0.27,0.73
2012-11-28T00:00:00,1.0,0.0
2012-11-29T00:00:00,1.0,0.0
2012-11-30T00:00:00,1.0,0.0
2012-12-01T00:00:00,1.0,0.0
2012-12-02T00:00:00,1.0,0.0
2012-12-03T00:00:00,1.0,0.0
2012-12-04T00:00:00,1.0,0.0
2012-12-05T00:00:00,1.0,0.0
2012-12-06T00:00:00,1.0,0.0
2012-12-07T00:00:00,1.0,0.0
2012-12-08T00:00:00,1.0,0.0
2012-12-09T00:00:00,1.0,0.0
2012-12-10T00:00:00,1.0,0.0
2012-12-11T00:00:00,1.0,0.0
2012-12-12T00:00:00,1.0,0.0
2012-12-13T00:00:00,0.01,0.99
2012-12-14T00:00:00,0.486,0.514
2012-12-15T00:00:00,1.0,0.0
2012-12-16T00:00:00,1.0,0.0
2012-12-17T00:00:00,1.0,0.0
2012-12-18T00:00:00,1.0,0.0
2012-12-19T00:00:00,0.002,0.998
2012-12-20T00:00:00,0.382,0.618
2012-12-21T00:00:00,1.0,0.0
2012-12-22T00:00:00,0.715,0.285
2012-12-23T00:00:00,1.0,0.0
2012-12-24T00:00:00,0.913,0.087
2012-12-25T00:00:00,1.0,0.0
2012-12-26T00:00:00,1.0,0.0
2012-12-27T00:00:00,1.0,0.0
2012-12-28T00:00:00,1.0,0.0
2012-12-29T00:00:00,1.0,0.0
2012-12-30T00:00:00,1.0,0.0
2012-12-31T00:00:00,1.0,0.0
2013-01-01T00:00:00,1.0,0.0
2013-01-02T00:00:00,1.0,0.0
2013-01-03T00:00:00,1.0,0.0
2013-01-04T00:00:00,1.0,0.0
2013-01-05T00:00:00,1.0,0.0
2013-01-06T00:00:00,1.0,0.0
2013-01-07T00:00:00,1.0,0.0
2013-01-08T00:00:00,1.0,0.0
2013-01-09T00:00:00,1.0,0.0
2013-01-10T00:00:00,1.0,0.0
2013-01-11T00:00:00,0.722,0.278
2013-01-12T00:00:00,0.0,1.0
2013-01-13T00:00:00,0.0,1.0
2013-01-14T00:00:00,1.0,0.0
2013-01-15T00:00:00,1.0,0.0
2013-01-16T00:00:00,0.001,0.999
2013-01-17T00:00:00,0.0,1.0
2013-01-18T00:00:00,0.0,1.0
2013-01-19T00:00:00,0.0,1.0
2013-01-20T00:00:00,0.0,1.0
2013-01-21T00:00:00,0.979,0.021
2013-01-22T00:00:00,0.013,0.988
2013-01-23T00:00:00,0.0,1.0
2013-01-24T00:00:00,0.0,1.0
2013-01-25T00:00:00,0.0,1.0
2013-01-26T00:00:00,0.999,0.001
2013-01-27T00:00:00,1.0,0.0
2013-01-28T00:00:00,1.0,0.0
2013-01-29T00:00:00,1.0,0.0
2013-01-30T00:00:00,1.0,0.0
2013-01-31T00:00:00,1.0,0.0
2013-02-01T00:00:00,1.0,0.0
2013-02-02T00:00:00,1.0,0.0
2013-02-03T00:00:00,1.0,0.0
2013-02-04T00:00:00,1.0,0.0
2013-02-05T00:00:00,1.0,0.0
2013-02-06T00:00:00,1.0,0.0
2013-02-07T00:00:00,1.0,0.0
2013-02-08T00:00:00,1.0,0.0
2013-02-09T00:00:00,1.0,0.0
2013-02-10T00:00:00,0.013,0.987
2013-02-11T00:00:00,0.0,1.0
2013-02-12T00:00:00,0.0,1.0
2013-02-13T00:00:00,0.0,1.0
2013-02-14T00:00:00,1.0,0.0
2013-02-15T00:00:00,1.0,0.0
2013-02-16T00:00:00,0.995,0.005
2013-02-17T00:00:00,0.0,1.0
2013-02-18T00:00:00,0.0,1.0
2013-02-19T00:00:00,0.998,0.002
2013-02-20T00:00:00,0.002,0.998
2013-02-21T00:00:00,0.0,1.0
2013-02-22T00:00:00,0.0,1.0
2013-02-23T00:00:00,0.0,1.0
2013-02-24T00:00:00,0.0,1.0
2013-02-25T00:00:00,0.012,0.988
2013-02-26T00:00:00,0.0,1.0
2013-02-27T00:00:00,0.0,1.0
2013-02-28T00:00:00,0.0,1.0
2013-03-01T00:00:00,0.0,1.0
2013-03-02T00:00:00,0.0,1.0
2013-03-03T00:00:00,0.0,1.0
2013-03-04T00:00:00,0.0,1.0
2013-03-05T00:00:00,0.0,1.0
2013-03-06T00:00:00,0.0,1.0
2013-03-07T00:00:00,0.0,1.0
2013-03-08T00:00:00,0.0,1.0
2013-03-09T00:00:00,0.904,0.096
2013-03-10T00:00:00,0.0,1.0
2013-03-11T00:00:00,0.0,1.0
2013-03-12T00:00:00,0.0,1.0
2013-03-13T00:00:00,1.0,0.0
2013-03-14T00:00:00,1.0,0.0
2013-03-15T00:00:00,1.0,0.0
2013-03-16T00:00:00,1.0,0.0
2013-03-17T00:00:00,0.625,0.375
2013-03-18T00:00:00,0.501,0.498
2013-03-19T00:00:00,0.0,1.0
2013-03-20T00:00:00,0.701,0.299
2013-03-21T00:00:00,0.0,1.0
2013-03-22T00:00:00,0.0,1.0
2013-03-23T00:00:00,0.0,1.0
2013-03-24T00:00:00,0.0,1.0
2013-03-25T00:00:00,0.0,1.0
2013-03-26T00:00:00,0.0,1.0
2013-03-27T00:00:00,0.0,1.0
2013-03-28T00:00:00,0.0,1.0
2013-03-29T00:00:00,0.0,1.0
2013-03-30T00:00:00,0.0,1.0
2013-03-31T00:00:00,0.0,1.0
2013-04-01T00:00:00,0.0,1.0
2013-04-02T00:00:00,0.0,1.0
2013-04-03T00:00:00,0.0,1.0
2013-04-04T00:00:00,0.0,1.0
2013-04-05T00:00:00,0.0,1.0
2013-04-06T00:00:00,0.0,1.0
2013-04-07T00:00:00,0.0,1.0
2013-04-08T00:00:00,0.0,1.0
2013-04-09T00:00:00,0.0,1.0
2013-04-10T00:00:00,0.16,0.84
2013-04-11T00:00:00,0.62,0.38
2013-04-12T00:00:00,1.0,0.0
2013-04-13T00:00:00,1.0,0.0
2013-04-14T00:00:00,1.0,0.0
2013-04-15T00:00:00,1.0,0.0
2013-04-16T00:00:00,1.0,0.0
2013-04-17T00:00:00,1.0,0.0
2013-04-18T00:00:00,1.0,0.0
2013-04-19T00:00:00,1.0,0.0
2013-04-20T00:00:00,0.14,0.86
2013-04-21T00:00:00,1.0,0.0
2013-04-22T00:00:00,1.0,0.0
2013-04-23T00:00:00,1.0,0.0
2013-04-24T00:00:00,1.0,0.0
2013-04-25T00:00:00,1.0,0.0
2013-04-26T00:00:00,1.0,0.0
2013-04-27T00:00:00,0.17,0.83
2013-04-28T00:00:00,0.5,0.5
2013-04-29T00:00:00,1.0,0.0
2013-04-30T00:00:00,0.19,0.81
2013-05-01T00:00:00,0.0,1.0
